Program,Year,Enrollees,Dropout
Healthcare Services,2012-2013,150,0
Healthcare Services,2013-2014,176,0
Healthcare Services,2014-2015,204,0
Healthcare Services,2015-2016,258,0
Healthcare Services,2016-2017,148,0
Healthcare Services,2017-2018,92,0
Healthcare Services,2018-2019,46,0
Healthcare Services,2019-2020,72,0
Healthcare Services,2020-2021,0,0
Healthcare Services,2021-2022,0,0
Healthcare Services,2022-2023,0,0
Computer Programming,2012-2013,226,0
Computer Programming,2013-2014,267,0
Computer Programming,2014-2015,104,0
Computer Programming,2015-2016,0,0
Computer Programming,2016-2017,0,0
Computer Programming,2017-2018,0,0
Computer Programming,2018-2019,0,0
Computer Programming,2019-2020,0,0
Computer Programming,2020-2021,0,0
Computer Programming,2021-2022,0,0
Computer Programming,2022-2023,0,0
Bachelor of Science in Information Technology (BSIT),2012-2013,325,0
Bachelor of Science in Information Technology (BSIT),2013-2014,527,0
Bachelor of Science in Information Technology (BSIT),2014-2015,596,0
Bachelor of Science in Information Technology (BSIT),2015-2016,1000,0
Bachelor of Science in Information Technology (BSIT),2016-2017,774,0
Bachelor of Science in Information Technology (BSIT),2017-2018,716,0
Bachelor of Science in Information Technology (BSIT),2018-2019,837,52
Bachelor of Science in Information Technology (BSIT),2019-2020,1294,93
Bachelor of Science in Information Technology (BSIT),2020-2021,1688,142
Bachelor of Science in Information Technology (BSIT),2021-2022,1449,80
Bachelor of Science in Information Technology (BSIT),2022-2023,1292,67
 Associate in Information Technology (AIT),2012-2013,340,0
 Associate in Information Technology (AIT),2013-2014,246,0
 Associate in Information Technology (AIT),2014-2015,246,0
 Associate in Information Technology (AIT),2015-2016,63,0
 Associate in Information Technology (AIT),2016-2017,0,0
 Associate in Information Technology (AIT),2017-2018,0,0
 Associate in Information Technology (AIT),2018-2019,0,0
 Associate in Information Technology (AIT),2019-2020,0,0
 Associate in Information Technology (AIT),2020-2021,0,0
 Associate in Information Technology (AIT),2021-2022,0,0
 Associate in Information Technology (AIT),2022-2023,0,0
Bachelor of Science in Accountancy (BSA),2012-2013,601,0
Bachelor of Science in Accountancy (BSA),2013-2014,581,0
